id,lat,lon,brand_name,brand_id,name,city,address,zip,phone,worktime,services,payments,foursquare_id,wikimapia_id,status,error
4486,48.754025,15.952062,Shell,54,Retz Kremserstrasse,Retz,Kremserstrasse 24 A,2070,+43 2942 20253,06:00 - 21:00,,,,,OK,
4487,48.572365,15.829765,Shell,54,Maissau Wienerstrasse,Maissau,Wienerstrasse 6,3712,+43 2958 82253,06:00 - 21:00,,,,,OK,
4994,50.009109,14.542353,Orlen,56,Průhonice Ps,Ujezd u Pruhonic,D1 - 5.km PS,14900,272690104,0:00 - 24:00,,,,,OK,
4995,50.010445,14.54301,Orlen,56,Průhonice Ls,Ujezd u Pruhonic,D1 - 5.km LS,14900,272690055,0:00 - 24:00,,,,,OK,
4996,49.741066,18.621393,Orlen,56,Český Těšín,Ceský Tesín,Jablunkovská 1967,73701,558746422,05:00 - 22:00,,,,,OK,
4997,50.630329,13.843177,Orlen,56,Teplice,Teplice,Prosetice,41501,417531006,0:00 - 24:00,,,,,OK,
4998,48.846592,16.057146,Orlen,56,Znojmo,Znojmo,Vídeňská tř. 52,66902,515224286,0:00 - 24:00,,,,,OK,
4999,49.270554,16.279215,Orlen,56,Devět Křížů Ls,Velka Bites,"D1 - 166,5km",59501,5464402591,0:00 - 24:00,,,,,OK,
5000,49.269634,16.277651,Orlen,56,Devět Křížů Ps,Velka Bites,dálnice PS,59501,546440250,0:00 - 24:00,,,,,OK,
5001,49.746403,13.441607,Orlen,56,"Plzeň, Rokycanská",Plzen,Rokycanská 1354/160,31216,377260730,0:00 - 24:00,,,,,OK,
5002,50.96817,14.56367,Orlen,56,Rumburk,Rumburk,Východní 636/2,40801,412333202,05:00 - 22:00,,,,,OK,
5003,49.27013,14.715018,Orlen,56,Soběslav,Sobeslav,Wilsonova 736/III,39201,381521028,05:00 - 22:00,,,,,OK,
5004,50.405514,14.932383,Orlen,56,Mladá Boleslav Ps,Mladá Boleslav,Na obchvatu PS,29301,326723501,0:00 - 24:00,,,,,OK,
5005,50.033615,14.214373,Orlen,56,Drahelčice,Rudna,"D5 - 6.km PS, č.p. 1431",25219,311670407,0:00 - 24:00,,,,,OK,
5006,49.752991,15.018547,Orlen,56,Střechov Ps,Benesov,D1 - 62.km PS,25771,317851452,0:00 - 24:00,,,,,OK,
5007,49.165543,16.629747,Orlen,56,"Brno, Kaštanová",Brno-Jih,Kaštanová,61700,543250343,0:00 - 24:00,,,,,OK,
