state,lat,p,c,borough,city,country_code,country,postcode,col,display_name,lng,suburb,d,city_district
Severozápad,50.45221,0.0,Orlen,,,cz,Česko,431 44,black,"Benzina - Chomutov, Pražská, Pražská, Chomutov I, Chomutov, okres Chomutov, Ústecký kraj, Severozápad, 431 44, Česko",13.42579,Chomutov I,,
Střední Čechy,50.02243,0.0,Orlen,,,cz,Česko,280 02,black,"Orlen, Kolín Benešova, Benešova, Kolín VI, Kolín, okres Kolín, Střední Čechy, 280 02, Česko",15.18422,Kolín VI,,
Střední Morava,49.87633,0.0,Benzina,,,cz,Česko,789 15,black,"Československé armády, Rudolfov, Zábřeh na Moravě, Zábřeh, okres Šumperk, Olomoucký kraj, Střední Morava, 789 15, Česko",16.88537,Zábřeh na Moravě,,
Praha,50.10347,0.0,Benzina,,Hlavní město Praha,cz,Česko,190 93,black,"Stop Cafe, Českomoravská, Balabenka, Libeň, Praha, obvod Praha 9, Hlavní město Praha, Praha, 190 93, Česko",14.48504,Libeň,,obvod Praha 9
Severovýchod,50.64786,0.0,ORLEN,,,cz,Česko,468 23,black,"Benzina Železný Brod, Betlémská, Hammeršťata, Železný Brod, Chlístov, Železný Brod, okres Jablonec nad Nisou, Liberecký kraj, Severovýchod, 468 23, Česko",15.25504,Železný Brod,,
Severovýchod,50.36061,0.0,Orlen,,,cz,Česko,549 01,black,"Benzina - Nové Město Nad Metují, T. G. Masaryka, Nové Město nad Metují, Vrchoviny, Nové Město nad Metují, okres Náchod, Královéhradecký kraj, Severovýchod, 549 01, Česko",16.14811,Nové Město nad Metují,,
,49.64539,0.0,Orlen,,,cz,Česko,332 04,black,"344, Nezvěstice, okres Plzeň-město, Plzeňský kraj, 332 04, Česko",13.50936,,,
Střední Morava,49.33824,0.0,Benzina,,,cz,Česko,752 01,black,"1416, Padlých hrdinů, Kojetín, Popůvky, Kojetín, okres Přerov, Olomoucký kraj, Střední Morava, 752 01, Česko",17.3136,Kojetín,,
,49.05027,0.0,Benzina,,,cz,Česko,373 41,black,"BENZINA, 105, Hluboká nad Vltavou, okres České Budějovice, 373 41, Česko",14.42986,Hluboká nad Vltavou,,
,49.22759,0.0,Orlen,,,cz,Česko,391 81,black,"Stop Cafe, 3, Řípec, okres Tábor, 391 81, Česko",14.72105,Řípec,,
Severozápad,50.65457,39.5,Orlen,,,cz,Česko,417 03,#999900,"277, Ruská, Dubí-Pozorka, Dubí, okres Teplice, Ústecký kraj, Severozápad, 417 03, Česko",13.80691,,před 7 dny,
Severozápad,50.3196,39.2,Benzina,,,cz,Česko,358 01,#009900,"Stop Cafe, Čs. armády, Kraslice, okres Sokolov, Karlovarský kraj, Severozápad, 358 01, Česko",12.51915,Kraslice,před 5 dny,
Jihovýchod,49.28772,0.0,Benzina,,,cz,Česko,595 01,black,"257, Za Loukama, Janovice, Velká Bíteš, okres Žďár nad Sázavou, Kraj Vysočina, Jihovýchod, 595 01, Česko",16.22214,Janovice,,
Severovýchod,50.2959,37.5,Orlen,,,cz,Česko,518 01,#009900,"Benzina, 298, Dobruška, okres Rychnov nad Kněžnou, Královéhradecký kraj, Severovýchod, 518 01, Česko",16.16835,Dobruška,před 4 dny,
Severozápad,50.42612,0.0,Orlen,,,cz,Česko,413 01,black,"2499, Hornická, Roudnice nad Labem, Podlusky, Roudnice nad Labem, okres Litoměřice, Ústecký kraj, Severozápad, 413 01, Česko",14.24113,Roudnice nad Labem,,
Severovýchod,50.22122,40.9,Orlen,,Hradec Králové,cz,Česko,503 01,#999900,"Benzina Koutníkova, Koutníkova, Plotiště nad Labem, Hradec Králové, okres Hradec Králové, Královéhradecký kraj, Severovýchod, 503 01, Česko",15.8071,Plotiště nad Labem,před 8 dny,
Severovýchod,50.48339,0.0,Orlen,,,cz,Česko,509 01,black,"Orlen express, Pražská, Vlkov, Nová Paka, Studénka, Nová Paka, okres Jičín, Královéhradecký kraj, Severovýchod, 509 01, Česko",15.5058,Vlkov,,
Praha,50.02131,0.0,Orlen,,Hlavní město Praha,cz,Česko,147 00,black,"Orlen - Modřany, Modřanská, Hodkovičky, Praha, obvod Praha 4, Hlavní město Praha, Praha, 147 00, Česko",14.40443,Hodkovičky,,obvod Praha 4
Střední Čechy,49.75307,0.0,Orlen,,,cz,Česko,285 09,black,"D1, Střechov nad Sázavou, Trhový Štěpánov, okres Benešov, Střední Čechy, 285 09, Česko",15.01866,,,
,48.93523,0.0,Orlen ,,,cz,Česko,384 91,black,"Stop Cafe, 4, Žlíbky, Horní Vltavice, okres Prachatice, 384 91, Česko",13.7655,,,
Praha,50.05935,42.9,Benzina,,Hlavní město Praha,cz,Česko,106 00,#999900,"Jižní spojka, Záběhlice, Praha, obvod Praha 10, Hlavní město Praha, Praha, 106 00, Česko",14.48446,Záběhlice,před 8 dny,obvod Praha 10
Praha,50.12822,41.7,Orlen,,Hlavní město Praha,cz,Česko,199 06,#009900,"Orlen, Kbelská, U Střížkova, Letňany, Praha, obvod Praha 9, Hlavní město Praha, Praha, 199 06, Česko",14.50517,Letňany,před 4 dny,obvod Praha 9
Praha,50.0872,41.9,ORLEN,,Hlavní město Praha,cz,Česko,162 00,#009900,"Orlen, Ankarská, Břevnov, Praha, obvod Praha 6, Hlavní město Praha, Praha, 162 00, Česko",14.34984,Břevnov,Včera,obvod Praha 6
Střední Čechy,50.10209,0.0,Orlen,,,cz,Česko,269 01,black,"Benzina, Pražská, Rakovník I, Rakovník, okres Rakovník, Střední Čechy, 269 01, Česko",13.7396,Rakovník I,,
Moravskoslezsko,49.84285,39.5,ORLEN,,Ostrava,cz,Česko,708 00,#009900,"407, Opavská, Pustkovec, Ostrava, okres Ostrava-město, Moravskoslezský kraj, Moravskoslezsko, 708 00, Česko",18.1499,Pustkovec,Předevčírem,
,48.99256,0.0,MOL,,České Budějovice,cz,Česko,370 21,black,"Strakonická, České Budějovice 3, České Budějovice, okres České Budějovice, 370 21, Česko",14.46968,České Budějovice 3,,
Moravskoslezsko,49.78122,39.5,Benzina,,Ostrava,cz,Česko,720 00,#009900,"Stop Cafe, Krmelínská, Hrabová, Ostrava, okres Ostrava-město, Moravskoslezský kraj, Moravskoslezsko, 720 00, Česko",18.27047,Hrabová,před 4 dny,
Severovýchod,50.12148,0.0,Orlen ,,,cz,Česko,517 41,black,"Benzina - Kostelec Nad Orlicí LS, Rudé armády, Kostelec nad Orlicí, okres Rychnov nad Kněžnou, Královéhradecký kraj, Severovýchod, 517 41, Česko",16.22026,Kostelec nad Orlicí,,
,49.01208,0.0,Orlen,,,cz,Česko,379 01,black,"Stop Cafe, 24, Obecní Mlýn, Třeboň, Holičky, Třeboň, okres Jindřichův Hradec, 379 01, Česko",14.788,Třeboň,,
Střední Čechy,49.87068,39.5,Orlen,,,cz,Česko,252 10,#009900,"947, Pražská, Mníšek pod Brdy, okres Praha-západ, Střední Čechy, 252 10, Česko",14.27048,Mníšek pod Brdy,před 4 dny,
Střední Morava,49.55206,0.0,Benzina,,,cz,Česko,783 47,black,"stop. cafe, D46, Žerůvky, Bystročice, okres Olomouc, Olomoucký kraj, Střední Morava, 783 47, Česko",17.18382,,,
,49.7464,40.9,Orlen,,Plzeň,cz,Česko,312 00,#009900,"1354/160, Rokycanská, Doubravka, Plzeň 4, Plzeň, okres Plzeň-město, Plzeňský kraj, 312 00, Česko",13.44157,Doubravka,Předevčírem,Plzeň 4
,49.8119,0.0,Orlen ,,,cz,Česko,316 00,black,"Benzina plus Třemošná, Plzeňská, Orlík, Třemošná, okres Plzeň-sever, Plzeňský kraj, 316 00, Česko",13.39253,Třemošná,,
Severozápad,50.62701,0.0,MOL,,,cz,Česko,415 01,black,"3140, Bílinská, Teplice, okres Teplice, Ústecký kraj, Severozápad, 415 01, Česko",13.82768,Teplice,,
Jihovýchod,49.30064,0.0,Orlen,,,cz,Česko,598 01,black,"Benzina - Třešť, Dr. Richtra, Třešť, okres Jihlava, Kraj Vysočina, Jihovýchod, 598 01, Česko",15.48245,Třešť,,
Praha,50.12485,0.0,Benzina,,Hlavní město Praha,cz,Česko,193 00,black,"Orlen, Novopacká, Horní Počernice, Praha, obvod Praha 9, Hlavní město Praha, Praha, 193 00, Česko",14.61457,Horní Počernice,,obvod Praha 9
Jihovýchod,48.8257,0.0,Orlen,,,cz,Česko,671 67,black,"Stop Cafe, Nádražní, Hrušovany nad Jevišovkou, okres Znojmo, Jihomoravský kraj, Jihovýchod, 671 67, Česko",16.39897,Hrušovany nad Jevišovkou,,
,48.96656,0.0,Shell,,České Budějovice,cz,Česko,372 15,black,"Shell, Novohradská, Havlíčkova kolonie, České Budějovice 6, České Budějovice, okres České Budějovice, 372 15, Česko",14.48797,České Budějovice 6,,
Praha,50.09691,0.0,Benzina,,Hlavní město Praha,cz,Česko,186 76,black,"Orlen, Novovysočanská, Žižkov, Praha, obvod Praha 3, Hlavní město Praha, Praha, 186 76, Česko",14.47814,Žižkov,,obvod Praha 3
Praha,50.10009,0.0,Benzina,,Hlavní město Praha,cz,Česko,170 00,black,"Orlen, Za Viaduktem, Holešovice, Praha, obvod Praha 7, Hlavní město Praha, Praha, 170 00, Česko",14.44264,Holešovice,,obvod Praha 7
,49.27237,0.0,Orlen,,,cz,Česko,387 11,black,"Benzina - Katovice, Tyršova, Katovice, okres Strakonice, 387 11, Česko",13.83952,Katovice,,
Severovýchod,50.2032,40.9,Orlen,,Hradec Králové,cz,Česko,500 01,#009900,"Brněnská, U Orlice, Hradec Králové, okres Hradec Králové, Královéhradecký kraj, Severovýchod, 500 01, Česko",15.84023,Hradec Králové,před 5 dny,
Moravskoslezsko,49.58001,0.0,Benzina,,,cz,Česko,739 11,black,"56, Frýdlant, Frýdlant nad Ostravicí, okres Frýdek-Místek, Moravskoslezský kraj, Moravskoslezsko, 739 11, Česko",18.3526,Frýdlant,,
Jihovýchod,49.22132,41.5,ORLEN,,Brno,cz,Česko,612 93,#009900,"Stop Cafe, 42, Žabovřesky, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 612 93, Česko",16.5828,Žabovřesky,před 4 dny,
Střední Čechy,49.53184,0.0,Orlen,,,cz,Česko,391 36,black,"Mitrovice, D3, Mitrovice, Mezno, okres Benešov, Střední Čechy, 391 36, Česko",14.66487,Mitrovice,,
,48.98876,39.9,Benzina,,České Budějovice,cz,Česko,370 04,#009900,"Stop Cafe, Nádražní, Pražské Předměstí, České Budějovice 3, České Budějovice, okres České Budějovice, 370 04, Česko",14.47836,České Budějovice 3,před 5 dny,
,49.13138,0.0,Orlen,,,cz,Česko,377 01,black,"890, Václavská, Jindřichův Hradec III, Jindřichův Hradec, okres Jindřichův Hradec, 377 01, Česko",15.00283,Jindřichův Hradec III,,
Severozápad,50.96817,39.5,Orlen,,,cz,Česko,408 01,#009900,"636/2, Východní, Rumburk, okres Děčín, Ústecký kraj, Severozápad, 408 01, Česko",14.5635,Rumburk,před 5 dny,
Severovýchod,49.82354,39.9,Orlen,,,cz,Česko,569 55,#009900,"Benzina, 35, Gajer, Janov u Litomyšle, Mendryka, Janov, okres Svitavy, Pardubický kraj, Severovýchod, 569 55, Česko",16.40505,Janov u Litomyšle,před 5 dny,
Jihovýchod,48.83148,0.0,Orlen,,,cz,Česko,691 86,black,"Orlen, 52, Bavory, okres Břeclav, Jihomoravský kraj, Jihovýchod, 691 86, Česko",16.61338,Bavory,,
,49.27479,39.5,Benzina,,,cz,Česko,,#009900,"Stop Cafe, 191, Svatá Kateřina, Svatá Kateřina u Chudenína, Chudenín, okres Klatovy, Plzeňský kraj, Česko",13.0686,Svatá Kateřina u Chudenína,před 5 dny,
,49.08203,0.0,Orlen ,,,cz,Česko,380 01,black,"Stop Cafe, Hradecká, Péráček, Dačice, okres Jindřichův Hradec, 380 01, Česko",15.41979,Péráček,,
Moravskoslezsko,49.70744,0.0,Benzina,,,cz,Česko,742 13,black,"Benzina Studénka, Butovická, Butovice, Studénka, okres Nový Jičín, Moravskoslezský kraj, Moravskoslezsko, 742 13, Česko",18.04852,Butovice,,
Severozápad,50.66584,39.5,Orlen,,Ústí nad Labem,cz,Česko,400 07,#999900,"813/65, Neštěmická, Nad zoologickou zahradou, Krásné Březno, Ústí nad Labem, okres Ústí nad Labem, Ústecký kraj, Severozápad, 400 07, Česko",14.06533,Krásné Březno,před 9 dny,
Severozápad,50.79765,38.9,Orlen,,,cz,Česko,407 21,#009900,"Orlen, Úzká, Dolní Kamenice, Česká Kamenice, okres Děčín, Ústecký kraj, Severozápad, 407 21, Česko",14.40445,Dolní Kamenice,před 3 dny,
Střední Morava,49.4622,38.9,Benzina,,,cz,Česko,756 61,#009900,"1. máje, sídliště Koryčanské paseky, Rožnov pod Radhoštěm, okres Vsetín, Zlínský kraj, Střední Morava, 756 61, Česko",18.12861,Rožnov pod Radhoštěm,Dnes,
Jihovýchod,48.73504,39.5,Benzina,,,cz,Česko,691 41,#999900,"Orlen, Hraniční, Poštorná, Břeclav, okres Břeclav, Jihomoravský kraj, Jihovýchod, 691 41, Česko",16.85838,Poštorná,před 8 dny,
Severovýchod,50.14937,0.0,Orlen,,,cz,Česko,503 51,black,"Nové Město nad Cidlinou, Nové Město, okres Hradec Králové, Královéhradecký kraj, Severovýchod, 503 51, Česko",15.49953,Nové Město nad Cidlinou,,
,49.57821,0.0,Orlen,,,cz,Česko,334 01,black,"1142, Dukelská, Přeštice, okres Plzeň-jih, Plzeňský kraj, 334 01, Česko",13.3268,Přeštice,,
Severovýchod,50.70916,0.0,Orlen ,,,cz,Česko,468 46,black,"Stop Cafe, 01019, Plavy, Bohdalovice, Plavy, okres Jablonec nad Nisou, Liberecký kraj, Severovýchod, 468 46, Česko",15.31553,Plavy,,
Střední Čechy,50.03338,0.0,Benzina,,,cz,Česko,252 19,black,"D5, Dušníky u Rudné, Rudná, okres Praha-západ, Střední Čechy, 252 19, Česko",14.21623,Dušníky u Rudné,,
Košický kraj,48.76694,0.0,Orlen,,,sk,Slovensko,071 01,black,"Stop Cafe, 3897, okres Michalovce, Košický kraj, Východné Slovensko, 071 01, Slovensko",21.88675,,,
Praha,50.1381,39.9,ORLEN,,Hlavní město Praha,cz,Česko,165 00,#009900,"ev.10/157, Kamýcká, Suchdol, Praha, obvod Praha 6, Hlavní město Praha, Praha, 165 00, Česko",14.36647,Praha,Dnes,obvod Praha 6
Severozápad,50.51987,0.0,Benzina,,,cz,Česko,435 02,black,"Hořanská cesta, Souš, Most II, Most, okres Most, Ústecký kraj, Severozápad, 435 02, Česko",13.60956,Souš,,
,49.54867,39.5,Orlen,,,cz,Česko,591 01,#999900,"2207/46, Brněnská, Žďár nad Sázavou 1, Město Žďár, Žďár nad Sázavou, okres Žďár nad Sázavou, Kraj Vysočina, 591 01, Česko",15.95625,Žďár nad Sázavou 1,před 7 dny,
Severovýchod,50.34286,38.5,Orlen,,,cz,Česko,551 01,#009900,"ORLEN, 761, Hradecká, Pražské Předměstí, Jaroměř, okres Náchod, Královéhradecký kraj, Severovýchod, 551 01, Česko",15.90453,Pražské Předměstí,před 5 dny,
Severovýchod,50.14315,39.9,Orlen,,,cz,Česko,533 22,#009900,"Benzina, 35, Hoděšovice, Býšť, okres Pardubice, Pardubický kraj, Severovýchod, 533 22, Česko",15.89475,,Předevčírem,
Jihovýchod,49.41564,0.0,Orlen,,,cz,Česko,393 01,black,"Benzina - PELHŘIMOV, 1930, Nádražní, Pelhřimov, okres Pelhřimov, Kraj Vysočina, Jihovýchod, 393 01, Česko",15.22194,Pelhřimov,,
Střední Morava,49.48362,39.9,Benzina,,,cz,Česko,796 03,#009900,"ORLEN - Benzina - Prostějov, Olomoucká, Za Olomouckou, Prostějov, okres Prostějov, Olomoucký kraj, Střední Morava, 796 03, Česko",17.12175,Prostějov,před 3 dny,
Praha,50.03102,0.0,Orlen,,Hlavní město Praha,cz,Česko,152 00,black,"H2, K Barrandovu, Barrandov, Hlubočepy, Praha, obvod Praha 5, Hlavní město Praha, Praha, 152 00, Česko",14.38047,Hlubočepy,,obvod Praha 5
Severovýchod,49.96594,39.5,Orlen,,,cz,Česko,562 03,#009900,"ORLEN - Ústí Nad Orlicí, Moravská, Moravská, Hylváty, Ústí nad Orlicí, okres Ústí nad Orlicí, Pardubický kraj, Severovýchod, 562 03, Česko",16.40496,,Dnes,
Moravskoslezsko,49.77555,0.0,Benzina,,,cz,Česko,742 83,black,"D1, Janovice, Bravantice, okres Nový Jičín, Moravskoslezský kraj, Moravskoslezsko, 742 83, Česko",18.09532,Bravantice,,
Střední Morava,49.21815,0.0,Benzina,,,cz,Česko,763 12,black,"1363, Zlínská, Vizovice, okres Zlín, Zlínský kraj, Střední Morava, 763 12, Česko",17.84714,Vizovice,,
Severovýchod,49.98137,0.0,Orlen,,,cz,Česko,562 01,black,"1395, Královéhradecká, Ústí nad Orlicí, okres Ústí nad Orlicí, Pardubický kraj, Severovýchod, 562 01, Česko",16.39469,Ústí nad Orlicí,,
,49.32494,0.0,Orlen ,,,cz,Česko,341 01,black,"1134, Komenského, Zářečí u Horažďovic, Nový Dvůr, Horažďovice, okres Klatovy, Plzeňský kraj, 341 01, Česko",13.68739,Zářečí u Horažďovic,,
Jihovýchod,49.18347,38.9,Benzina,,Brno,cz,Česko,627 00,#009900,"1474/1c, Hviezdoslavova, Slatina, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 627 00, Česko",16.6717,Slatina,Včera,
,49.18481,39.9,ORLEN,,,cz,Česko,665 01,#009900,"Brněnská, Rosice u Brna, Rosice, okres Brno-venkov, Jihomoravský kraj, 665 01, Česko",16.40309,Rosice u Brna,Včera,
,48.77763,39.5,Benzina,,,cz,Česko,690 03,#999900,"3121, Lidická, Břeclav, okres Břeclav, Jihomoravský kraj, 690 03, Česko",16.89834,Břeclav,před 8 dny,
Bratislavský kraj,48.44294,0.0,Benzina,,,sk,Slovensko,901 91,black,"Brnianska, Malacky, okres Malacky, Bratislavský kraj, 901 91, Slovensko",17.0123,,,
Severozápad,50.48109,0.0,Orlen,,,cz,Česko,411 21,black,"Kralupol, D8, Siřejovice, okres Litoměřice, Ústecký kraj, Severozápad, 411 21, Česko",14.08115,Siřejovice,,
,49.19849,39.5,Benzina,,,cz,Česko,398 11,#999900,"913, Ve Školce, Protivín, okres Písek, 398 11, Česko",14.21133,Protivín,před 7 dny,
Střední Čechy,50.25029,39.9,Benzina,,,cz,Česko,278 01,#009900,"Benzina - Kralupy nad Vltavou, Mostní, Lobeček, Kralupy nad Vltavou, okres Mělník, Střední Čechy, 278 01, Česko",14.32033,Lobeček,Dnes,
Střední Čechy,50.23525,40.5,Orlen,,,cz,Česko,274 01,#009900,"Stop Cafe, Dukelských hrdinů, Slaný, okres Kladno, Střední Čechy, 274 01, Česko",14.06979,Slaný,Dnes,
Severovýchod,50.03433,38.7,Orlen,,Pardubice,cz,Česko,530 02,#009900,"2763, Palackého třída, Zelené Předměstí, Pardubice, okres Pardubice, Pardubický kraj, Severovýchod, 530 02, Česko",15.75096,Zelené Předměstí,Včera,
Moravskoslezsko,49.61245,0.0,MOL,,,cz,Česko,742 21,black,"Drnholec nad Lubinou, Lubina, Kopřivnice, okres Nový Jičín, Moravskoslezský kraj, Moravskoslezsko, 742 21, Česko",18.16116,Drnholec nad Lubinou,,
Severovýchod,50.159,0.0,Orlen,,,cz,Česko,503 51,black,"Benzina - Chlumec Nad Cidlinou, Pražská, Chlumec nad Cidlinou III, Chlumec nad Cidlinou, okres Hradec Králové, Královéhradecký kraj, Severovýchod, 503 51, Česko",15.4464,Chlumec nad Cidlinou III,,
Severozápad,50.67027,39.5,Orlen,,,cz,Česko,417 01,#999900,"303, Ruská, Dubí-Bystřice, Dubí, okres Teplice, Ústecký kraj, Severozápad, 417 01, Česko",13.79417,,před 7 dny,
